,achievement_count,athlete_count,athlete_id,average_cadence,average_heartrate,average_speed,comment_count,commute,display_hide_heartrate_option,distance,elapsed_time,elev_high,elev_low,end_lat,end_lng,external_id,flagged,from_accepted_tag,gear_id,has_heartrate,has_kudoed,heartrate_opt_out,id,kudos_count,location_city,location_country,location_state,manual,map_id,map_polyline,max_heartrate,max_speed,moving_time,name,photo_count,pr_count,private,resource_state,start_date,start_date_local,start_lat,start_latitude,start_lng,start_longitude,timezone,total_elevation_gain,total_photo_count,trainer,type,upload_id,upload_id_str,utc_offset,visibility,workout_type
49,1.0,2.0,23312763.0,87.2,163.4,2.989,0.0,0.0,1.0,5006.2,1722.0,11.9,6.8,52.2,0.13,garmin_push_4682490170,0.0,0.0,g6474974,1.0,0.0,0.0,3205686454.0,8.0,,,,0.0,a3205686454,qcp}HocSc@Qc@[_@e@i@Nk@@e@GiByAqASe@S]_@e@K_@i@a@]]g@O]Uy@g@kA]k@q@{Ac@_@Ym@qBcJW]a@}DO{@Qm@Mw@NkCdA}L?YIeA?[PeAT}@B_@G_AQa@lCwe@a@i@e@a@c@i@]qAe@GkA]c@AMB_@E|@uI?BAAANGDQWo@s@mA@_ATUIw@sC,179.0,5.9,1675.0,Corona Run I: Simple 5km,0.0,1.0,0.0,2.0,2020-03-21T17:19:50Z,2020-03-21T17:19:50Z,52.19,52.19,0.1,0.1,(GMT+00:00) Europe/London,4.9,0.0,0.0,Run,3427188275.0,3427188275,0.0,everyone,0
48,3.0,2.0,23312763.0,86.6,166.7,3.062,0.0,0.0,1.0,6105.0,2193.0,11.9,6.9,52.2,0.13,garmin_push_4690155601,0.0,0.0,g6474974,1.0,0.0,0.0,3212164061.0,6.0,,,,0.0,a3212164061,ysq}HaqWCf@NhAPv@x@Oh@Hf@EXOt@WNEZl@J|@RpC@|@F|@P|@G|@F`@^PhA[`@Y`@_@LGLBBz@Db@^tBLz@@t@Ch@Up@AZGZq@nBML]`BMZINSn@Ej@UpAHhAC~@IXIx@IV]`@e@`@a@f@Wv@c@zAO\G|@@fASjAIz@ShA_@hAEj@iA`GAjBQf@I|@Bp@FXb@Rb@Lh@BjALzA@nBe@f@U`@If@?TRp@vCd@bGRx@~@rCb@`CPv@`@hAdAhEzBzDn@`ARTd@Z^^`@TtA`@`BTd@V|@t@^f@`@b@TL`@`@lArAbCxBl@d@z@h@b@Nj@LpA`@fAp@b@RGgA[gAWm@{@eAS_@]c@k@]w@C[Ek@So@]m@e@y@sAk@k@YSYm@Ys@o@aC_@m@_@Ye@Oc@Ie@Ac@Fe@Lc@P_@TeA~@Q^_@ZOGy@iBmAsBSWSe@_BkEm@oC_@oBe@sBUw@Iw@Gy@a@eD_@eEXi@Z_BCgB\{DOeBW_BSw@Ws@Qs@k@uA[o@c@OuATY@s@^O@KAOM?y@F[Ry@RwATq@^Yr@e@\m@FqBBaD\y@Fs@Ny@n@}AZi@J}@\qBIuBUkBQmCCEc@Ra@XgAb@g@EUs@MqAKc@KqCe@uEB}@U{BI}BKGc@NCRb@pCIzBIDa@He@Nw@Re@@Oq@WsB,181.0,4.1,1994.0,Corona Run II: Building up,0.0,0.0,0.0,2.0,2020-03-23T17:25:06Z,2020-03-23T17:25:06Z,52.2,52.2,0.13,0.13,(GMT+00:00) Europe/London,9.7,0.0,0.0,Run,3434102992.0,3434102992,0.0,everyone,0
47,1.0,2.0,23312763.0,88.8,170.4,3.12,0.0,0.0,1.0,5372.2,2101.0,11.9,6.9,52.2,0.13,garmin_push_4695962528,0.0,0.0,g6474974,1.0,0.0,0.0,3217253662.0,6.0,,,,0.0,a3217253662,wrq}H{qW@\E~@?d@BXFRh@CPEh@GzAa@RALDn@|ELfBHjDb@Hd@Sb@If@Ad@MVBx@rFF~@EbA[jA]jBo@bBu@jD_@xDC~@Ot@]b@a@Z_@`@Wn@o@hCMz@EzBy@|CSb@KFS@k@K]HUPy@xACRVv@V^f@A^q@P_APkAAFU_@YAa@RORk@~@M\Lh@N^VN\HV@JCZq@P{@De@Ii@[g@g@Fi@Zs@nAAV`@`Ab@PT@`@?Tg@Ji@uC^N\d@Lb@@ZIJi@F_A@yAGOM?e@Le@TUl@QXAv@\t@NFf@?b@QFQJy@C{BGIO@c@NULYj@QXMd@Nj@Zh@JBd@?\_@FQJu@?qAGi@KCc@Lc@Rs@zA?VT`AGMO}@Nm@Tk@`@]f@B\TDTCn@G`@Mz@Wj@iACOQQu@?SVs@\q@d@Yh@BZj@BTC`AWr@[d@s@Gc@OUo@Fy@`@{@\_@`@MR@\h@@j@E`@[vA]Vi@?c@[Qw@Ns@Vm@b@_@b@Qb@NNb@Fl@Gj@St@GNWX]De@ESIYu@Dq@zCeBBF@b@Cz@CXKh@OXe@Jc@C]GYs@Ge@Ag@VaE\a@b@InAMd@AhAFJw@AeA@q@b@qBHy@Rq@\c@bAu@Vo@RyBTwDZyBTu@p@{Af@eDD{@A_AU}BO{@Gy@]WiA\i@JgA^IWE{@GeCMyBKmDMO[BsB`@eBRO}@IsA,198.0,4.6,1722.0,Corona Run III: First intervals (200m on: 100m off) x8,0.0,0.0,0.0,2.0,2020-03-25T12:09:32Z,2020-03-25T12:09:32Z,52.2,52.2,0.13,0.13,(GMT+00:00) Europe/London,6.7,0.0,0.0,Run,3439505501.0,3439505501,0.0,everyone,0
46,8.0,2.0,23312763.0,88.5,175.1,3.052,0.0,0.0,1.0,8024.2,2629.0,18.9,6.9,52.2,0.13,garmin_push_4698848276,0.0,0.0,g6474974,1.0,0.0,0.0,3219838299.0,4.0,,,,0.0,a3219838299,{sq}HspWBlAFz@BDf@ENEhAEt@S^CXG^xCh@vI\l@V?d@EnAm@VSNAt@zFBbA?ZIj@Of@[~Bk@rAw@vCMj@C`CQzBQt@OVy@n@a@d@ELOb@c@lBMz@@f@NHfAO\Of@Eb@Od@H`@l@n@vAHZv@rA^vBTbC?PQhAM`DCNIPGnAa@x@F~@d@rCTpCFh@`@dCZnARbBPv@r@vBXl@Tp@^~AP^~@zAf@dA`@p@`AhAb@V`@Rd@NhAb@~A\j@RTNvC~CZj@v@x@fAz@fAbA`@Xt@`@~A`@~A|@lA~@\l@^b@zAdAfA|@xArAb@XlBt@hA\hBn@fAh@lAb@b@X`ARhCt@jAVhBl@d@JjBrAF@~@kAf@Cf@@d@Jb@RtBfALHb@LTs@\oBTy@^SNA|@@d@HXYR{DR}BNy@T_CXsBNy@Pu@^i@bAo@`@]Vq@Ps@PeFA[LeCRqBFyANqB?{@H}AKWa@a@[e@Kc@E}@?_AC{@G_AK_AD}@XiB\iDIw@O]w@qA}@kAi@iAk@}A]m@wBcAwAIy@Og@OeAg@uAoAo@a@{DkDoB{A{@y@aAu@oBoAsC}Ba@Ue@e@cAs@cEsE_@]oA{@wAmA_Ak@}@a@yAy@k@UeDqBYKyGaBa@Sg@a@q@Ym@a@_Bu@cBcA{BgAsCeCa@g@]YOG_@g@a@]c@Me@@g@Hw@Xk@Zo@XsBlAe@Tc@Ae@De@HgAn@g@P]DSyBAcAGkAMqAc@qDECu@FsATw@Rc@BGc@CaAGi@,190.0,4.0,2629.0,Corona Run IV: First full Granchester lap,0.0,0.0,0.0,2.0,2020-03-26T12:08:06Z,2020-03-26T12:08:06Z,52.2,52.2,0.13,0.13,(GMT+00:00) Europe/London,21.9,0.0,0.0,Run,3442253530.0,3442253530,0.0,everyone,0
45,6.0,3.0,23312763.0,89.9,169.6,3.158,0.0,0.0,1.0,7759.2,2457.0,12.5,4.2,52.2,0.13,garmin_push_4708805056,0.0,0.0,g6474974,1.0,0.0,0.0,3228798548.0,10.0,,,,0.0,a3228798548,usq}HoqWCCAIWkBCgAK_Ae@eCa@aAWoAYy@g@I_@Z}A`BeAx@U^c@`@c@\e@Ne@As@qAg@Mi@@}D_@e@CkAOiAIiAQsCWmAMg@Ca@VOVi@bCITKEa@_@i@Oc@Ua@[IEa@m@e@Wo@q@u@m@q@[s@g@e@Um@OYDw@\cCSe@@cAKaAAw@S_@[Q{@SkBa@wBYyBu@qEg@uD_@gBEc@AcCIyBe@mBu@wAWu@Ss@QwBC_A?_AH{DG{BYyBOy@K[k@}AqAcC_@a@cByAc@YgAi@eAq@e@WeAcAS[oAeCe@uA}AgAg@Sa@Og@KkAQiAw@_@][c@Yq@o@qBy@gDs@sE}@uDk@kD_@wDOy@I_AQ}@YsBo@wC}@uC^fAXj@d@Cd@[d@Q\EVt@@f@AEF]`@D^H`@V^\b@f@Xl@Rr@P|@Rv@Pt@F`AJz@h@dBj@zBNv@p@~BVdBVt@J|@`@lBDr@H`@Nb@HrAp@pCTr@Lx@NlANr@Vr@dA~A~@x@f@R^j@jAdAdAl@z@\j@d@~@|@lAxAZd@r@`Bh@nDRv@L~@Fz@CzDMlBD|BVl@`@j@J|@Pz@Tv@Lz@ZfHZhBL~@l@tDxBrONr@f@LnBP~ABb@HnAGf@If@IHGRBzAl@l@Px@r@`@d@T\PRp@^p@n@b@N^Xj@n@b@LXk@^m@Rw@Xe@f@ApCXfANjDVd@@x@HdD\f@Ad@BdBn@F?h@Jd@Yx@m@~@aA^Y`BaB`@JLTPlApA~Dv@~G,191.0,4.8,2457.0,Corona Run V: Run along the river,0.0,5.0,0.0,2.0,2020-03-28T12:09:38Z,2020-03-28T12:09:38Z,52.2,52.2,0.13,0.13,(GMT+00:00) Europe/London,8.2,0.0,0.0,Run,3451768055.0,3451768055,0.0,everyone,0
44,0.0,1.0,23312763.0,87.1,149.0,3.196,0.0,0.0,1.0,5012.1,1568.0,11.9,5.9,52.2,0.13,garmin_push_4715457662,0.0,0.0,g6474974,1.0,0.0,0.0,3234483419.0,2.0,,,,0.0,a3234483419,wtq}HypW@PP|AAlA_AXUL[Fu@`@mB`@[^AVF~@HzBCx@?fBiAr@Wl@wAx@q@n@}@dA}@rA{ApB{@rA_@d@a@`@{@nAa@^c@X[f@gAv@g@@c@Hi@Nc@Zi@EkAJg@?a@NgA?S@oAKe@Ic@UgAU]SWAy@Ke@Uc@Ke@Dg@C}@`@oAFe@QeAo@m@WE?_@^aAv@aDrE{AdCWl@m@bA_@`@]j@FD^x@Nj@D|@@b@Ah@DfATv@dAdFRr@Th@Zd@P`Ad@TrAVd@Xf@Bd@JfADh@S`Aq@hAi@bCo@d@?b@Wb@i@`@[`A_@hAMd@?nAJrC^d@?TGr@YjA[pBe@rCeAd@Ib@Wb@]VBrB{@bB{@t@QVu@Ru@lAWf@Id@Ad@Q^J\dAb@Bf@If@Of@Gf@A`@Qb@Kb@Cd@Id@?d@FZ@j@sDRy@Vu@JcAVs@Z[z@q@NYLw@FkCJ{Af@qBF}@F[p@{A\oBTs@H_AGy@Mw@M[]oBKiAKM]@WDqBz@e@@U_AUoEW_CG_AAm@CC_@BuBn@eAFEMKmA,194.0,4.8,1568.0,Corona Run VI: 5km around the ghost town,0.0,0.0,0.0,2.0,2020-03-30T10:55:56Z,2020-03-30T11:55:56Z,52.2,52.2,0.13,0.13,(GMT+00:00) Europe/London,8.2,0.0,0.0,Run,3457875597.0,3457875597,3600.0,everyone,0
43,5.0,2.0,23312763.0,90.7,174.7,3.319,0.0,0.0,1.0,5084.4,1532.0,11.9,6.0,52.2,0.13,garmin_push_4718995043,0.0,0.0,g6474974,1.0,0.0,0.0,3237647224.0,6.0,,,,0.0,a3237647224,{rq}HyqWLZEfAB`AGVUPuAf@oA^YL_@FcAVMXDd@Bz@E|@?|@FzBIl@mBdAc@\kAnAa@V{@r@o@x@u@~Ai@v@[b@_@^]l@k@r@cAbAy@hAcBzAWNYHuATmAXg@?mBRg@?e@Cc@Ig@?e@Ge@Yg@I_@Mc@U[i@g@Ac@e@a@]m@NcAr@mAZe@Fe@QMSkA[]Ou@n@}@hAc@`@yB|Ck@dAk@nAK^OVk@bBI`AH|@B~@C`A?z@\r@Nh@N`BNr@Zj@Px@Xh@^d@TN^Bb@LpARVJ^RpAFb@FTHf@Ap@e@jAc@d@GjAUfEEVBd@?h@G`@G`EkAjAc@b@Uf@MlB]d@KhAa@fAe@lAWb@]hA]nCiBf@Kh@@d@VRPZj@l@d@d@RfAWPw@^_ETn@b@Ff@Ed@Ob@Gf@Ed@UPGnBSfAFLAHe@JwBJy@Ru@\mB^k@`@U`@a@\i@Ry@L{@LyB@{@NoBNu@Rs@Vq@Lm@H{@\sBC_AEy@[yC?{@GOQGa@JkBx@g@Pc@GIcAKqFU{BA_AEKiAVS@e@JqA\Y?Su@CaA,191.0,4.7,1532.0,Corona Run VII: Ghost town 2,0.0,4.0,0.0,2.0,2020-03-31T10:20:34Z,2020-03-31T11:20:34Z,52.2,52.2,0.13,0.13,(GMT+00:00) Europe/London,8.0,0.0,0.0,Run,3461228329.0,3461228329,3600.0,everyone,0
42,0.0,2.0,23312763.0,89.4,172.6,3.279,0.0,0.0,1.0,6691.6,2105.0,11.8,6.9,52.2,0.13,garmin_push_4723535684,0.0,0.0,g6474974,1.0,0.0,0.0,3241830978.0,7.0,,,,0.0,a3241830978,{rq}HwpW@B@d@Hd@Bv@DNbBs@r@QD?ZFNAJBVv@h@rFA`ACl@JfB`@NZFTCTIv@U`@QXAr@lDTrBCd@Wp@GLa@|@qB|HKv@Aj@BhBO~AQn@]l@s@t@]t@Mp@_@hAMj@OtBKx@w@|A]j@w@\c@V[j@e@fAR~@X\f@Fb@MV}@Dy@Cw@Yk@g@HYTc@v@Yl@Pt@T`@b@Np@@DCTw@Jy@E{@G[[a@c@Ba@^k@hAIZZv@`@\b@Hd@KRq@Jy@E_AGUICg@Bc@F}@|ACLRj@Zf@b@Dh@@Tk@Ny@C}@Ku@MOi@DSLu@tAO^H\Xl@`@Nf@DZYRs@Hy@Eg@Ss@e@Ac@N_@h@[n@I\Tp@^`@b@@f@CTy@FcAIw@Wi@g@F_@b@]l@Uj@BLTd@`@^d@D`@KNc@L{@G{@Os@i@Ca@Ty@zAG^Tl@\b@fADZo@L{@KaB@`AI|@Uv@_@Xe@?a@]M{@Lw@Vq@\_@b@O`@XJz@C~@Ux@a@`@e@@c@SSq@D{@\o@Ze@b@Ob@@JJH\Dp@Gr@Sp@_@\q@AWIGMSs@Hu@h@kAd@Ub@@Rl@@|@I|@Wv@]Ti@G_@_@S_AVu@Xk@f@Yb@CZb@DV@h@Kx@Up@a@Ne@E_@WIWIq@r@}Ad@Wd@AXp@Bb@GbAQp@c@^i@Ec@SUu@F}@Vk@Xi@FEh@S`@NNr@C|@QbAU`@c@Fi@E[m@Io@v@{Ab@Ud@GVl@Fx@?XM|@]j@i@?e@I[m@Gy@`@kA\i@XKh@@HH@?NS\m@l@cBNWL_A?aAN{@ZuAJ{@Pu@b@a@b@W^_@Tq@HaB@{@B{@N{@z@}DXs@ZmAJ_ARw@F_@?_AI}@YuBOgBy@To@EYBiA^Yo@KiBOwFIuAGYqAVmALkAZEEM_A@{@Kg@,194.0,4.4,2041.0,Corona Run VIII: (1 lap on: 1 lap off) x8,0.0,0.0,0.0,2.0,2020-04-01T11:16:47Z,2020-04-01T12:16:47Z,52.2,52.2,0.13,0.13,(GMT+00:00) Europe/London,4.7,0.0,0.0,Run,3465662038.0,3465662038,3600.0,everyone,0
41,2.0,2.0,23312763.0,90.1,173.7,3.288,0.0,0.0,1.0,8042.6,2494.0,18.4,6.9,52.2,0.13,garmin_push_4733014711,0.0,0.0,g6474974,1.0,0.0,0.0,3250604600.0,8.0,,,,0.0,a3250604600,ysq}HqpWBz@JnAF\AIHGlAUTGHIxAWXE@Bf@xBB|@Nx@D~@Hx@GdA@dBF@hACb@Qf@Yj@Mf@QX[f@UjCs@h@e@V[d@O\Ed@Ah@Ld@Tb@VHFZj@bAv@T\v@Z^b@f@^~@Z`Ab@xA`Ad@DjA^JFn@p@jBbAbCv@rBb@t@X`AXrBfAnAz@b@N`@RfBnAZ`@d@TdAt@b@j@|ArAvA`BZVdAn@VT^T`@^v@|Ad@ThBhAbAz@`@X`AbA^X\b@b@Zd@Tb@ZbA|@\`@zAdA`@^jB`Ad@Lb@D`@CnA`@t@\TRVr@Hb@j@zAp@dAf@\^b@x@nAVl@@~@Cd@a@dBk@hB@~@Vt@F~@@~@C`ABx@Xp@`@X\j@@|@Y`DBb@c@fDUtB?z@OzCBpACv@M`@Ub@]b@gAx@[l@i@dBOv@Iz@?bAKv@Qr@UvB?h@B`A?|@Sn@e@FiAIe@A_@ZSp@KbAQx@[h@a@Aa@Y_@_@aAa@mA[c@?[R}@z@AGmBkA_AQc@Gg@UwCi@sBg@a@Oa@YmBu@iAe@oBi@mASg@Qa@UqBkB{C}Bw@w@]k@c@_@g@[kB{@iBcAa@]Y[c@]c@WgAw@_@][k@]i@eA_A}@o@iAo@yD_Ac@Ma@Ya@c@y@wAYa@g@iAu@qASm@WsAWo@]uA]iA_BsHYyBc@}AWsBc@yB?]Z_ADy@DKVkC?q@\}AE{@MgAIcBWoASs@yAyCa@EmAZc@RQ@oAXMQ?{@Fm@d@wCXe@bAo@Xo@Lu@H_ALwBBaAj@iDXm@J[Hw@?U^uBN_C?}@G{@GuBGi@IEE?sAXg@Pa@Ra@LQqAMyCOuAGYE_A@_ACQGOI?mAX{@LWD_ADGQG}@?}@,192.0,4.8,2446.0,Corona Run IX: The loop,0.0,2.0,0.0,2.0,2020-04-03T16:16:29Z,2020-04-03T17:16:29Z,52.2,52.2,0.13,0.13,(GMT+00:00) Europe/London,23.0,0.0,0.0,Run,3474927249.0,3474927249,3600.0,everyone,0
40,23.0,1.0,23312763.0,86.4,175.2,2.966,0.0,0.0,1.0,15010.2,5060.0,12.5,3.5,52.2,0.13,garmin_push_4736459560,0.0,0.0,g6474974,1.0,0.0,0.0,3253802454.0,15.0,,,,0.0,a3253802454,i`r}H_yVa@Nc@V_CpB{@tAs@zA_@d@gCfEuAz@i@j@_CvCqDz@uBAe@VwC[u@TcBu@kASk@m@mA[e@?yCd@oACuBsAoAsBc@_@Oe@_@a@c@S}@FWs@q@eDe@j@Yj@i@n@Uj@e@t@I^]d@aAdAm@F[C[k@iAmCQq@YeBA}@a@qAE{@Mw@YyCg@kDGw@CqCGy@F_ABwCRmB|AmG`A}CXi@xByBZk@~BaGn@oCL_AVgDJsCDuFWaDGe@s@}B_A_BKw@OsBByBRoE?{@m@gD_@{Ak@cBy@yA_@g@_B}AeCwAWEiAq@y@o@oAcB[i@_A{By@sAkBs@kCg@cAq@}@_Ae@PYTsAzAUs@e@sBmAmEWaBBsD{@gJUqHa@mCe@kBsBuE[yAm@uE_@uH[oEa@}Ca@kFg@gDcBmIc@gDa@{Be@mBC_AIw@a@mBk@iA]c@cAu@e@C_BNgDl@}FjBiADg@Ma@W]a@[o@{AsFa@mCs@}A_@i@c@]kAq@c@MkAKyDi@mDeAkE}@qBOgA_@}F[iAW_@WeAeAaAuAaBuCy@mBo@kAUy@QYOg@x@rBzA`CTj@^d@|@hBvAfBdAz@dAXlCXjBHfC`@d@CxC|@xIfBzCJxAn@`BhBXn@^bB\jA|@`Ev@nBZl@ZXz@L`ACrFoBbB]lBMhB?`@Jx@t@\l@`A|CTfBB`AHx@Vp@h@bE|@pEl@`Eb@bBNfBD|Bj@bCT|BTlDLxEp@nFv@vDt@vBp@`Bz@nENlB@dBFzATnCBp@^vDNpF^pBdBnGJFXUtA_Bf@EVHz@d@r@r@|@\nB`@dAv@xB~Cv@xAdBzAhBdA`@`@|BjA|@fA^ZnA~BRr@Fx@\zBXp@F~BA`CI`AGxBB|@Tr@d@v@Hx@Tv@Zl@Rr@V|DGzBfBvIb@dDRxB\tBHzAf@jBNH|D`@d@Cz@L`AIlA]f@LpAbApAn@~@bAvA|@|AjA^f@b@Rn@c@Fl@NVlAx@pAlA`@V|Ad@pApB`@v@Ws@e@wCK}BGgEBOdB@pGd@|B@^b@LXVRd@CpAY`@[\i@~BsBdAuAFF\lALNTt@j@vCfAjI?|@Dx@,214.0,5.8,5060.0,Corona Run X: Chill run along the river,0.0,13.0,0.0,2.0,2020-04-04T12:33:29Z,2020-04-04T13:33:29Z,52.2,52.2,0.12,0.12,(GMT+00:00) Europe/London,8.8,0.0,0.0,Run,3478337591.0,3478337591,3600.0,everyone,0
